Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;;Gaming Controller;Joy-Con Set Blue/Red (Switch);6072022; CHF 64.36 ;2;; CHF 128.72 ;AJ;;;;;
24.05.2024;;Gaming Controller;Joy-Con Lenkrad Paar (Switch);6081312; CHF 10.70 ;1;; CHF 10.70 ;AJ;;;;;
24.05.2024;;Gaming Controller;DualSense Wireless-Controller (PS5);13427533; CHF 49.94 ;3;; CHF 149.82 ;AJ;;;;;
24.05.2024;;Gaming Controller;DualSense Wireless-Controller - Midnight Black (PS5);15838033; CHF 60.87 ;2;; CHF 121.74 ;AJ;;;;;
24.05.2024;;Gaming Controller;Switch Pro Controller (Switch);6071777; CHF 50.38 ;2;; CHF 100.76 ;AJ;;;;;
24.05.2024;;Gaming Controller;"Xbox Wireless Controller - Carbon Black (Xbox Series X; Xbox One X; PC; Xbox One S; Xbox Series S)";13798709; CHF 39.27 ;2;; CHF 78.54 ;AJ;;;;;
24.05.2024;;Gaming Controller;"DualSense Wireless-Controller - Starlight Blue (Playstation; PS5)";17840632; CHF 57.06 ;2;; CHF 114.12 ;AJ;;;;;
24.05.2024;;Gaming Controller;"Xbox Wireless Controller - Robot White (Xbox One X; Xbox Series X; PC; Xbox One S; Xbox Series S)";13798832; CHF 38.52 ;2;; CHF 77.04 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;DualSense-Ladestation (PS5);13427633; CHF 20.47 ;2;; CHF 40.94 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;Quad Charging Station (Switch);13273075; CHF 11.44 ;1;; CHF 11.44 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;Joy-Con Comfort Grip (Switch);6088237; CHF 6.34 ;1;; CHF 6.34 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;"Xbox Play & Charge Kit [USB-C] (Xbox One S; Xbox Series S; Xbox Series X; Xbox One X)";13821461; CHF 14.86 ;1;; CHF 14.86 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;Joy-Con Charging Dock (Switch);6088235; CHF 16.58 ;1;; CHF 16.58 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;Joy-Con-Aufladehalterung (Switch);6072038; CHF 21.29 ;1;; CHF 21.29 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;Joy-Con Set Blue/Yellow (Switch);11766384; CHF 59.33 ;2;; CHF 118.66 ;AJ;;;;;
24.05.2024;;Gaming Controller Zubehör;Joy-Con Set Green/Pink (Switch);6375425; CHF 54.10 ;2;; CHF 108.20 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Gaming Headset;Pro X Lightspeed;13489068; CHF 150.97 ;1;; CHF 150.97 ;AJ;;;;;
24.05.2024;;Gaming Headset;Pulse 3D;16655414; CHF 80.13 ;1;; CHF 80.13 ;AJ;;;;;
24.05.2024;;Gaming Headset;G435 Lightspeed;16648599; CHF 49.08 ;1;; CHF 49.08 ;AJ;;;;;
24.05.2024;;Gaming Headset;PULSE-3D-Wireless-Headset;13427548; CHF 66.00 ;1;; CHF 66.00 ;AJ;;;;;
24.05.2024;;Gaming Headset;A50;11591770; CHF 207.59 ;1;; CHF 207.59 ;AJ;;;;;
24.05.2024;;Gaming Headset;Arctis Nova Pro Wireless;20796801; CHF 230.26 ;1;; CHF 230.26 ;AJ;;;;;
24.05.2024;;Gaming Headset;Barracuda X [2022];21035538; CHF 71.08 ;1;; CHF 71.08 ;AJ;;;;;
24.05.2024;;Gaming Headset;Pro X;11492508; CHF 73.88 ;1;; CHF 73.88 ;AJ;;;;;
24.05.2024;;Gaming Headset;Cloud II;3517141; CHF 54.14 ;1;; CHF 54.14 ;AJ;;;;;
24.05.2024;;Gaming Headset;G733 Lightspeed;13687799; CHF 95.61 ;1;; CHF 95.61 ;AJ;;;;;
24.05.2024;;Gaming Headset;Cloud Alpha;20761614; CHF 129.46 ;1;; CHF 129.46 ;AJ;;;;;
;;Gaming Headset;Blackshark V2 X (Kabelgebunden);13638042; CHF 32.06 ;1;; CHF 32.06 ;AJ;;;;;
;;Gaming Headset;Cloud Alpha Pro (Kabelgebunden);7513881; CHF 44.50 ;1;; CHF 44.50 ;AJ;;;;;
;;Gaming Headset;"Pro X 2 Lightspeed (Kabelgebunden; Kabellos)";35835163; CHF 167.69 ;1;; CHF 167.69 ;AJ;;;;;
;;Gaming Headset;HS80 (Wireless) (Kabellos) ;16387587; CHF 91.29 ;1;; CHF 91.29 ;AJ;;;;;
24.05.2024;Top Galaxus;Gesellschaftsspiel;Frantic;5836339; CHF 10.98 ;1;; CHF 10.98 ;AJ;;;;;
24.05.2024;Top Galaxus;Gesellschaftsspiel;UNO;312379; CHF 5.51 ;1;; CHF 5.51 ;AJ;;;;;
24.05.2024;;Gesellschaftsspiel;Uno Flip;10306920; CHF 8.66 ;1;; CHF 8.66 ;AJ;;;;;
